source,target,weight,raw_count
AT,RT,7.335091154114167e-06,47
RT,KT,4.430467087439989e-05,122
RT,AT,1.1860998461971844e-05,76
AP,AG,1.4889354985538952e-06,47
AT,CO,3.1858785702842e-05,347
KT,CO,4.9137109627027974e-06,23
OA,Quantum Algebra,7.207457315836118e-06,27
SG,Quantum Algebra,6.780405712356204e-07,2
RT,CA,2.4456415647096867e-05,166
MP,HO,1.849030368474772e-05,65
RA,HO,7.302041650845577e-06,4
Mathematical Physics,HO,1.849030368474772e-05,65
RT,RA,8.009976347011022e-05,510
RT,HO,1.9165808198174458e-05,16
AG,HO,9.032906879762977e-06,24
Differential Geometry,RA,7.721888465043011e-06,112
Differential Geometry,HO,3.312776590553434e-05,63
Quantum Algebra,HO,9.482447988772782e-06,4
QA,HO,1.1747216977505148e-05,22
AP,AP,7.97012701699452e-05,808
OA,CO,5.554629783924902e-06,70
OA,Exactly Solvable and Integrable Systems,2.3856242283996635e-06,8
SG,RA,1.540286587288824e-05,59
AC,RA,3.4550620805554634e-05,125
AC,RT,1.559793599405102e-05,86
AP,Differential Geometry,2.0138389240452545e-05,455
Differential Geometry,AP,2.4520148657605955e-05,554
Mathematical Physics,Quantum Algebra,2.0827119505721114e-06,43
MP,Quantum Algebra,2.0827119505721114e-06,43
CO,AT,2.855355145125032e-05,311
GT,GR,5.5979173786609744e-05,571
QA,GR,6.4841540806416766e-06,115
AC,QA,8.569977912094664e-06,106
Probability,ST,1.3387956194607332e-05,98
Mathematical Physics,ST,7.845206145251499e-07,17
MP,ST,7.845206145251499e-07,17
AG,Exactly Solvable and Integrable Systems,7.373561672255063e-06,103
Algebraic Geometry,Exactly Solvable and Integrable Systems,3.9596139426527607e-05,79
Quantum Algebra,Exactly Solvable and Integrable Systems,0.0001226459419073067,272
RT,CV,3.426783270755598e-06,22
LO,CO,2.2133836833133814e-05,246
CO,LO,1.4485966382660748e-05,161
GT,OA,5.01818044958715e-06,48
RT,Differential Geometry,7.826623549360208e-06,173
DS,SG,2.7661296873643197e-05,158
QA,Probability,7.750979626937599e-07,24
AP,Mathematical Physics,1.1109906473742502e-05,464
AP,MP,1.1109906473742502e-05,464
DS,OA,1.6266349059308764e-05,118
DS,CA,5.570953470192086e-06,37
AC,Differential Geometry,1.6719851718800756e-06,21
GR,AG,4.808889944460103e-06,121
CA,CV,1.4918995421649778e-05,67
CV,CA,2.182181419883102e-05,98
MP,CA,1.3120171711209416e-05,375
Probability,CA,1.5846466999111044e-05,153
Mathematical Physics,CA,1.3120171711209416e-05,375
Differential Geometry,CV,2.0991659678563673e-05,307
CT,RT,3.1890127879412796e-05,75
MP,GR,2.162750196404752e-06,72
Differential Geometry,GR,8.439920646977665e-06,152
Mathematical Physics,GR,2.162750196404752e-06,72
OA,NT,6.291856844260547e-06,59
QA,DS,1.831035430817284e-06,39
MP,DS,9.929811986888847e-06,397
Mathematical Physics,DS,9.929811986888847e-06,397
Differential Geometry,DS,9.755597771248154e-06,211
Exactly Solvable and Integrable Systems,CV,1.4463063917444832e-05,42
QA,CV,9.095789635354654e-06,131
NT,DS,7.327764232516621e-06,88
CO,NT,1.5099006341582664e-05,315
AC,NT,4.445209211620637e-06,31
AC,CA,2.074242318173215e-06,8
NT,CA,1.5608146986812282e-05,134
GR,NT,6.8001904053313495e-06,68
GR,CA,1.2657536604691752e-06,7
CO,SG,5.845106688313717e-06,58
MG,GT,4.713403953355162e-05,190
MG,MG,0.0005745475438092502,578
KT,GT,2.0547197193421746e-05,73
Exactly Solvable and Integrable Systems,CA,3.0291077714202703e-05,93
AG,CA,4.490199006545785e-06,97
Functional Analysis,CA,1.039454118566402e-05,73
GR,Functional Analysis,8.31298485789808e-06,68
GN,Functional Analysis,9.11565640997766e-06,27
DS,Functional Analysis,3.766400127691144e-06,37
RT,CT,3.954375857047187e-05,93
AC,AC,0.00016853394618404673,528
AC,CO,2.955565158474843e-05,277
OA,CT,3.394735377594747e-05,61
Quantum Algebra,GR,7.00909079075561e-06,28
NT,CO,1.1695738245543397e-05,244
SP,CA,2.156028718302528e-05,56
LO,Differential Geometry,8.728051635690588e-07,13
GR,QA,4.059644293966962e-06,72
GR,SG,5.466535133421303e-06,26
DS,QA,1.032891781486673e-06,22
IT,NT,2.7916455354608776e-06,12
