source,target,weight,raw_count
PF,Digital Libraries,0.00015926102882624622,1
MS,DM,3.0788177339901475e-05,1
MS,DC,3.840245775729647e-05,1
Data Structures and Algorithms,Hardware Architecture,3.813300793166565e-05,1
CC,FL,0.0006459948320413437,3
Computation and Language,Sound,4.3335066736002776e-05,1
Digital Libraries,Sound,0.0006105006105006105,1
DC,Neural and Evolutionary Computing,1.5273704789833822e-05,1
DC,Game Theory,2.02118198722613e-05,1
Operating Systems,Neural and Evolutionary Computing,0.00020292207792207794,1
Operating Systems,Game Theory,0.0002685284640171858,1
Operating Systems,Cryptography and Security,0.00010175010175010175,1
Cryptography and Security,Neural and Evolutionary Computing,1.618751618751619e-05,1
Cryptography and Security,Game Theory,2.1421074052653e-05,1
Information Theory,LO,4.3667950649975613e-07,1
DC,IR,1.828688464633165e-05,1
NI,IR,1.8536024764129085e-05,1
IR,DC,1.828688464633165e-05,1
IR,NI,1.8536024764129085e-05,1
IR,Cryptography and Security,1.9380971761924144e-05,1
LO,Data Structures and Algorithms,7.993579556899898e-07,1
Computer Engineering,Programming Languages,2.0178376851366077e-05,1
MS,Software Engineering,8.503401360544217e-05,1
Computer Vision,OH,0.00017901897601145723,1
NI,CY,5.797437532610586e-05,1
Game Theory,Cryptography and Security,2.1421074052653e-05,1
Multiagent Systems,Cryptography and Security,2.477393781741608e-05,1
General Literature,Cryptography and Security,0.00011396011396011396,1
ET,Information Theory,7.0506944934076e-05,2
